carat,cut,color,clarity,depth,table,price
1.21,Premium,J,VS2,62.4,58.0,4268
0.32,Very Good,H,VS2,63.0,57.0,505
0.71,Fair,G,VS1,65.5,55.0,2686
0.41,Good,D,SI1,63.8,56.0,738
1.02,Ideal,G,SI1,60.5,59.0,4882
1.52,Ideal,F,SI2,61.2,57.0,9057
1.01,Fair,H,VS2,65.2,56.0,3733
1.52,Ideal,J,VS1,62.3,58.0,8608
0.31,Ideal,H,VS1,61.8,54.2,557
1.14,Ideal,G,SI1,61.7,56.0,6741
0.44,Premium,E,SI1,62.3,59.0,1040
1.02,Premium,I,SI1,58.0,58.0,4284
0.93,Ideal,I,SI2,62.3,57.0,3101
1.51,Premium,G,VS1,60.1,58.0,14507
1.65,Ideal,H,SI2,61.6,55.0,10349
1.5,Good,G,SI2,57.5,63.0,6006
0.43,Ideal,D,VS1,62.1,56.0,1207
0.38,Premium,G,VS2,60.8,61.0,983
0.85,Ideal,I,VS1,61.9,56.0,3548
1.53,Premium,D,SI2,60.7,60.0,11078
1.54,Premium,H,VS2,61.0,60.0,11177
0.71,Premium,G,SI2,62.0,59.0,1740
0.3,Very Good,G,VS1,61.7,56.0,605
1.3,Ideal,G,IF,61.3,56.0,12932
0.3,Premium,G,SI1,62.9,59.0,574
1.0,Ideal,I,SI2,61.7,56.0,2873
1.0,Premium,G,VS2,61.6,54.0,6216
0.9,Premium,D,SI1,61.7,56.0,3568
1.55,Very Good,H,SI1,63.2,57.0,7066
1.01,Premium,H,SI2,61.1,60.0,3054
1.16,Premium,G,SI2,62.5,58.0,4969
0.35,Ideal,H,VVS1,62.0,53.9,743
0.97,Ideal,H,VVS1,60.4,57.0,6801
1.19,Ideal,E,SI2,60.2,57.0,5717
0.7,Very Good,H,VS1,62.1,56.0,2422
0.8,Very Good,H,SI1,63.2,54.0,2553
2.0,Premium,I,SI2,61.3,59.0,14208
0.71,Very Good,E,VS2,63.5,59.0,2858
1.0,Premium,F,SI1,60.3,58.0,5292
0.5,Ideal,E,SI2,62.4,57.0,1240
0.51,Ideal,G,VVS2,61.3,57.0,1875
1.04,Premium,G,SI2,62.2,59.0,3861
0.64,Ideal,G,VVS2,61.8,54.0,2587
0.8,Ideal,E,VS2,62.2,57.0,3648
0.3,Ideal,D,SI1,61.9,56.0,552
0.38,Premium,E,VS2,61.8,58.0,866
0.31,Ideal,G,VS1,62.1,55.0,625
1.0,Fair,H,SI1,55.2,64.0,3830
0.78,Ideal,G,VS2,61.7,55.0,3184
1.0,Very Good,D,SI1,59.8,59.0,5671
0.7,Very Good,H,VS1,60.3,63.0,2399
0.64,Very Good,F,SI1,60.7,59.0,1688
0.31,Ideal,I,VS1,61.3,55.6,513
0.52,Ideal,G,VS2,61.9,55.0,1549
0.33,Ideal,E,VS1,62.6,57.0,1002
0.3,Very Good,H,VVS1,63.4,57.0,878
1.0,Good,J,SI1,63.9,60.0,3679
0.3,Ideal,E,I1,60.3,57.0,495
0.47,Premium,H,VS1,61.8,58.0,1221
1.59,Ideal,H,VS1,60.7,56.0,13839
1.01,Good,G,SI1,63.7,60.0,5113
0.34,Ideal,H,SI1,62.6,56.0,628
0.31,Ideal,E,VVS2,60.8,57.0,816
0.74,Ideal,G,VS2,61.2,56.0,3434
0.33,Ideal,F,VS2,62.6,55.0,854
1.08,Ideal,I,VS2,61.8,54.0,5455
0.79,Ideal,G,SI1,62.3,57.0,2898
0.3,Ideal,H,VVS2,61.5,57.0,776
1.33,Ideal,I,VVS2,62.2,56.0,7887
0.51,Very Good,H,SI1,61.2,55.0,1008
0.58,Ideal,D,SI2,61.2,57.0,1342
1.22,Ideal,H,VS2,62.0,58.0,7623
0.78,Good,H,VS2,63.7,60.0,2440
1.62,Ideal,I,VS1,60.8,56.0,11152
1.65,Ideal,G,VS2,60.8,56.0,14456
0.55,Very Good,F,VS1,61.2,56.4,1975
1.64,Ideal,E,SI1,60.7,55.0,9801
0.3,Premium,E,VS2,62.5,59.0,658
0.41,Ideal,D,VS2,61.7,56.0,1076
0.3,Premium,D,VVS2,62.4,58.0,752
1.1,Premium,G,VS2,59.6,60.0,6121
1.03,Ideal,I,SI1,63.3,57.0,4401
0.3,Fair,J,VS2,64.8,58.0,416
1.02,Premium,I,SI1,62.7,58.0,4227
0.56,Premium,E,VS2,61.8,56.0,1915
1.51,Very Good,F,VS1,62.6,57.0,14976
1.13,Premium,I,SI1,61.8,59.0,4536
0.34,Ideal,I,SI1,61.9,57.0,589
1.16,Premium,H,SI2,58.8,61.0,4157
0.38,Very Good,F,VS2,59.7,57.0,752
1.03,Premium,G,SI1,60.5,60.0,5105
0.9,Very Good,E,SI2,62.2,54.0,3715
0.5,Very Good,D,SI1,62.8,58.0,1415
0.3,Ideal,F,SI1,62.2,54.2,499
0.64,Ideal,D,VS1,61.5,56.0,2787
